Name,Website,Location,Tuition,Acceptance Rate,Student-Faculty Ratio,Description
Adelphi University,https://www.collegexpress.com/college/adelphi-university/1100006/details/,"Garden City, NY","$39,820",74%,12:1,"Adelphi University, founded in 1896, is a private, coeducational institution. It is known for being a dotoral research university, with focus on the 'Core Four' areas of learning: arts and humanities; STEM and social sciences; business and education professions; and health and wellness. Its main 75-acre campus is in Garden City on Long Island, just 23 miles from New York City."
Albany College of Pharmacy and Health Sciences,https://www.collegexpress.com/college/albany-college-of-pharmacy-and-health-sciences/1100007/details/,"Albany, NY","$36,120",75%,8:1,"Established in 1881, Albany College of Pharmacy and Health Sciences is a private independent specialized health care institution with campuses in Albany, New York, and Colchester, Vermont."
Alfred State College,https://www.collegexpress.com/college/alfred-state-college/3000097/details/,"Alfred, NY","$7,070",71%,18:1,"SUNY College of Technology at Alfred, or Alfred State College, was founded as a school of agriculture in 1908, and was incorporated into the SUNY system in 1948. Today, the college offers a wide variety of majors, from welding to buisness, and focuses on hands-on instruction. Its 150-acre campus is located in Alfred, 75 miles south of Rochester, with a branch campus in Wellsville."
Alfred University,https://www.collegexpress.com/college/alfred-university/1100014/details/,"Alfred, NY","$33,760",64%,11:1,"Alfred University is a private, coeducational institution. Its 600-acre campus is located in Alfred, 75 miles south of Rochester."
Alliance University,https://www.collegexpress.com/college/alliance-university/2800143/details/,"New York, NY","$25,000",97%,12:1,"Alliance University, founded in 1882, is a private, Christian liberal arts college located in lower Manhattan."
AMDA New York,https://www.collegexpress.com/college/amda-new-york/3302606/details/,"New York, NY","$41,660",44%,,"The American Musical and Dramatic Academy, founded in 1964, is a private two-year institution. Its campus is located in New York, NY."
American Academy of Dramatic Arts,https://www.collegexpress.com/college/american-academy-of-dramatic-arts/3301905/details/,"New York, NY","$36,480",57%,,"American Academy of Dramatic Arts, founded in 1884, is a private specialized two-year institution. Its campus is located in New York, NY with a branch campus in Los Angeles."
Apex Technical School,https://www.collegexpress.com/college/apex-technical-school/3101001/details/,"Long Island City, NY",,,13:1,"Apex Technical School prepares students for career opportunities utilizing hands on technical training. The school has a rich tradition of service to New Yorkers since 1961 as a private school, licensed by the State of New York Education Department and accredited by the Accrediting Commission of Career Schools and Colleges."
ASA College,https://www.collegexpress.com/college/asa-college/3100996/details/,"Brooklyn, NY","$11,880",,,"ASA College is a private, coeducational institution. Its campus is located in Brooklyn, NY."
Atlantic Acting School,https://www.collegexpress.com/college/atlantic-acting-school/5001345/details/,"New York, NY","$17,000",,,Atlantic Acting School is a specialized institution. Its campus is located in New York.
Bard College,https://www.collegexpress.com/college/bard-college/1100165/details/,"Annandale-on-Hudson, NY","$55,566",56%,10:1,"Bard College, founded in 1860, is a private, liberal arts college. Its 1,000-acre campus is located in Annandale-on-Hudson, 90 miles north of New York City."
Barnard College,https://www.collegexpress.com/college/barnard-college/1100168/details/,"New York, NY","$55,781",13%,9:1,"Barnard College, founded in 1889, is a private, liberal arts college for women affiliated with Columbia University. Its four-acre campus is located in the Upper West Side of Manhattan."
"Baruch College, CUNY",https://www.collegexpress.com/college/baruch-college-cuny/1100930/details/,"New York, NY","$6,930",40%,19:1,"Founded in 1847, Bernard M. Baruch College of the City University of New York traces it roots to Free Academy. It is a public college located in the center of New York City's central business district."
Berk Trade and Business School,https://www.collegexpress.com/college/berk-trade-and-business-school/3101002/details/,"Long Island City, NY",,,20:1,"Berk Trade and Business School, founded in 1940, is a private, coeducational, technical/professional school. Its campus is located in Long Island City, New York."
Berkeley College—New York,https://www.collegexpress.com/college/berkeley-college-new-york/3000461/details/,"New York, NY","$25,300",,21:1,"Founded 1931, Berkeley College is a private coed institution. The main campus is located in mid-town Manhattan with additional locations in Brooklyn and White Plains, New York.  Programs also are available online."
Binghamton University,https://www.collegexpress.com/college/binghamton-university/1100131/details/,"Binghamton, NY","$7,070",43%,19:1,"Binghamton University, founded in 1946, is a medium-sized, comprehensive, doctoral-granting university. Its 930-acre campus is located in Binghamton, NY, just three hours from New York City and Philadelphia, PA."
Boricua College,https://www.collegexpress.com/college/boricua-college/1100192/details/,"New York, NY","$11,000",,,"Boricua College, founded in 1974, is a private, liberal arts college with an English/Spanish bilingual and bicultural curriculum. Its campus is located in Manhattan."
Borough of Manhattan Community College,https://www.collegexpress.com/college/borough-of-manhattan-community-college/3300972/details/,"New York, NY","$4,800",,24:1,"Borough of Manhattan Community College, founded in 1963, is a public two-year institution. Its campus is located in New York, NY."
Bronx Community College,https://www.collegexpress.com/college/bronx-community-college/3300973/details/,"Bronx, NY","$4,800",,,"Bronx Community College is a public, coeducational, two-year institution. Its campus is located in the Bronx, NY."
"Brooklyn College, CUNY",https://www.collegexpress.com/college/brooklyn-college-cuny/1100518/details/,"Brooklyn, NY","$6,930",49%,,"Founded in 1930, Brooklyn College is a public liberal arts institution in the City University of New York school system. Its 26-acre campus is located in Brooklyn's Flatbush section."
Buffalo State College,https://www.collegexpress.com/college/buffalo-state-college/1100138/details/,"Buffalo, NY","$7,070",80%,15:1,"Buffalo State, SUNY College at Buffalo, founded in 1867, is a public, multipurpose college of arts and sciences. Its 115-acre, urban campus is located in Buffalo."
